	title	cn	_merge
270	Title: Prentice-Hall's Great international atlas. 	G1021 .P7 1981	right_only
271	Title: The new international atlas = Der neue internationale 	G1021 .R28 1994	right_only
272	Title: The new international atlas [cartographic material] = 	G1021 .R28 1996	right_only
273	Title: The Rand McNally concise atlas of the earth. - 	G1021 .R3 1976	right_only
274	Title: World atlas of nations / [Rand McNally editorial and 	G1021 .R489 1988	right_only
275	Title: Reader's Digest illustrated world atlas [cartographic 	G1021 .R576 2004	right_only
276	Title: The cartographic satellite atlas of the world / 	G1021 .W67 1997	right_only
277	Title: The new atlas of world history : global events at a 	G1030 .H39 2011	right_only
278	Title: Oxford atlas of world history / [cartographic 	G1030 .O85 2002	right_only
279	Title: Brill's New Pauly : historical atlas of the ancient 	G1033 .B75 2010	right_only
280	Title: Hammond atlas of the 20th century / [cartographic 		right_only
281	Title: The Times atlas of world exploration : 3,000 years of 	G1036 .T5 1991	right_only
282	Title: The month-by-month atlas of World War II / Barrie and 	G1038 .P6 1989	right_only
283	Title: Past worlds [map] : the Times atlas of archaeology. 	G1046.E15 P3 1988	right_only
284	Title: The atlas of man [cartographic material] : a 500,000 	G1046.E1 M3 2008	right_only
285	Title: Atlas of world art / [cartographic material] / edited 	G1046.E1 O9 2004	right_only
286	Title: The art atlas / [cartographic material] / edited by 	G1046.E1 O92 2008	right_only
287	Title: Atlas of the world's languages / R.E. Asher and 	G1046.E3 A8 2007	right_only
288	Title: The atlas of language : a linguistic atlas offering an 	G1046.E3 M3 2017	right_only
289	Title: The world atlas of language structures / [cartographic 	G1046.E3 W6 2005	right_only
290	Title: Historical atlas of Mormonism / edited by S. Kent 	G1046.E423 H5 1994	right_only
291	Title: Atlas of global Christianity 1910-2010 / editors, Todd 	G1046.E42 A8 2009	right_only
292	Title: Historical atlas of ancient Christianity [cartographic 	G1046.E42 I813 2013	right_only
293	Title: The historical atlas of Eastern and Western Christian 	G1046.E4 H5 2003	right_only
294	Title: Landsat index atlas of the developing countries of the 	G1046.G1 I6	right_only
295	Title: World atlas of oil and gas basins [cartographic 	G1046.H8 L5 2011	right_only
296	Title: The atlas of shipwrecks and treasure : the history 	G1046.P57 P5 1994	right_only
297	Title: Morskoĭ atlas. Otvetstvennyĭ redaktor I. S. Isakov. 	G1060 .R8 V.1	right_only
298	Title: Morskoĭ atlas. Otvetstvennyĭ redaktor I. S. Isakov. 	G1060 .R8 V.2	right_only
299	Title: Morskoĭ atlas. Otvetstvennyĭ redaktor I. S. Isakov. 	G1060 .R8 V.3 PT.1	right_only
300	Title: Atlas of North America / [cartographic material] / 	G1105 .A8 2005	right_only
301	Title: Firefly atlas of North America [cartographic material] 	G1105 .G43 2006	right_only
302	Title: America discovered [cartographic material] : a 	G1106.S12 H3 2004	right_only
303	Title: Canada gazetteer atlas. 	G1116.E2 C3 1980	right_only
304	Title: Concise historical atlas of Canada / [cartographic 	G1116.S1 C6 1998	right_only
305	Title: Macmillan color atlas of the states / [cartographic 		right_only
306	Title: Atlas of United States mortality / [cartographic 	G1201.E24 A8 1996	right_only
307	Title: Census atlas of the United States [cartographic 	G1201.E2 U5 2007	right_only
308	Title: New historical atlas of religion in America / Edwin 	G1201.E4 N4 2001	right_only
309	Title: Atlas of American sport / John Rooney, Richard 	G1201.E63 R6 1992	right_only
310	Title: Historical U.S. county outline map collection 	G1201.F7 U58 1984	right_only
311	Title: Atlas of the 2008 elections [cartographic material] / 	G1201.F9 A8 2011	right_only
312	Title: Historical atlas of U.S. presidential elections 	G1201.F9 H5 2006	right_only
313	Title: The historical atlas of political parties in the 	G1201.F9 M25 1989	right_only
314	Title: Atlas of American agriculture [cartographic material] 		right_only
315	Title: National Geographic historical atlas of the United 	G1201.S1 F5 2004	right_only
316	Title: Historical atlas of the United States [cartographic 	G1201.S1 H4 2007	right_only
317	Title: Historical atlas of the United States / [cartographic 	G1201.S1 H5 2003	right_only
318	Title: Historical atlas of the United States. 	G1201.S1 N3 1988	right_only
319	Title: Atlas of early American history : the Revolutionary 	G1201.S3 A8	right_only
320	Title: Atlas of the American Revolution / map selection and 	G1201.S3 N4 1974	right_only
321	Title: The American Revolution, 1775-1783; an atlas of 18th 	G1201.S3 U5	right_only
322	Title: Atlas of the Civil War [cartographic material] : a 	G1201.S5 N2 2009	right_only
323	Title: Mapping New Jersey [cartographic material] : an 		right_only
324	Title: The historical atlas of the Congresses of the 	G1281.F8 M3 1994	right_only
325	Title: Virginia in maps [cartographic material] : four 	G1291.S1 V5 2000	right_only
326	Title: Atlas of Kentucky / [cartographic material] / 	G1330 .A77 1998	right_only
327	Title: Historical atlas of Louisiana / by Charles Robert 	G1361.S1 G6 1995	right_only
328	Title: Pioneer atlas of the American West; containing 	G1380 .R35	right_only
329	Title: Historical atlas of the American West / by Warren A. 	G1381.S1 B4 1989	right_only
330	Title: Historical atlas of the American West [cartographic 	G1381.S1 H39 2009	right_only
331	Title: Historical atlas of Washington & Oregon [cartographic 	G1486.S1 H39 2011	right_only
332	Title: Atlas of Hawaiʻi / [cartographic material] / 	G1534.2 .U5 1998	right_only
333	Title: Historical atlas of Central America / [cartographic 	G1551.S1 H2 2003	right_only
334	Title: Atlas of Islam, 1800-2000 [cartographic material] / by 	G1786.S1 B5 2010	right_only
335	Title: The Times atlas of Britain [cartographic material]. 		right_only
336	Title: An historical atlas of Staffordshire [cartographic 	G1818.S6S1 H4 2011	right_only
337	Title: Atlas of London and the London region [cartographic 	G1819.L7 J7 1968	right_only
338	Title: Atlas of Ireland / prepared under the direction of the 	G1830 .I7 1979	right_only
339	Title: Irish historic towns atlas / [cartographic material] / 	G1834.A1 I7 1986 V. 1	right_only
340	Title: Irish historic towns atlas / [cartographic material] / 	G1834.A1 I7 1986 V. 2	right_only
341	Title: Irish historic towns atlas / [cartographic material] / 	G1834.A1 I7 1986 V. 3	right_only
342	Title: Irish historic towns atlas / [cartographic material] / 	G1834.A1 I7 1986 V. 4	right_only
343	Title: Irish historic towns atlas / [cartographic material] / 	G1834.A1 I7 1986 V. 5	right_only
344	Title: Irish historic towns atlas / [cartographic material] / 	G1834.A1 I7 1986 V. 6	right_only
345	Title: Irish historic towns atlas / [cartographic material] / 	G1834.A1 I7 1986 V. 7	right_only
346	Title: Irish historic towns atlas / [cartographic material] / 	G1834.A1 I7 1986 V. 8	right_only
347	Title: Irish historic towns atlas / [cartographic material] / 	G1834.A1 I7 1986 V. 9	right_only
348	Title: Irish historic towns atlas / [cartographic material] / 	G1834.A1 I7 1986 V. 10	right_only
349	Title: Atlas historique des villes de France / [cartographic 	G1844.24.A1 A83 1982 V. AUCH	right_only
350	Title: Atlas lingüístico y etnográfico de Andalucía / 	G1968.A5 A5 1961 V.1	right_only
351	Title: Atlas lingüístico y etnográfico de Andalucía / 	G1968.A5 A5 1961 V.2	right_only
352	Title: Atlas lingüístico y etnográfico de Andalucía / 	G1968.A5 A5 1961 V.3	right_only
353	Title: Atlas lingüístico y etnográfico de Andalucía / 	G1968.A5 A5 1961 V.4	right_only
354	Title: Atlas lingüístico y etnográfico de Andalucía / 	G1968.A5 A5 1961 V.5	right_only
355	Title: Atlas lingüístico y etnográfico de Andalucía / 	G1968.A5 A5 1961 V.6	right_only
356	Title: Rome 1748 Roma [cartographic material] : la Pianta 	G1989.24.R7 N58 1991	right_only
357	Title: An historical atlas of Central Asia / [cartographic 	G2202.21.S1 B7 2003	right_only
