	title	cn	_merge
173	Title: The Arctic region [cartographic material]. 	G3271.F3 2008 .U5	right_only
174	Title: Latin America [cartographic material]. 	G3292.L3 1997 .U5	right_only
175	Title: American Indians & Alaska Natives in the United States 	G3701.E1 1999 U5	right_only
176	Title: Population of the United States, April 1, 2000 	G3701.E2 2000 .U51	right_only
177	Title: Understanding the U.S population. 	G3701.E2 2020 .U5	right_only
178	Title: Diversity in the United States : where we live and who 	G3701.E2 2020 .U52	right_only
179	Title: Sample PSUs for the health interview survey (HIS) 1980 	G3701.E25 1983 .U51 MLC	right_only
180	Title: Sample PSUs for the current population survey (CPS) 	G3701.E25 1983 .U52 MLC	right_only
181	Title: Metropolitan and micropolitan statistical areas of the 	G3701.E25 2003 .U5	right_only
182	Title: 2010 Census, local Census offices with type of 	G3701.E25 2009 .U5	right_only
183	Title: Five Ponds quadrangle, New York [cartographic 	G3802.A34 F48 2001	right_only
184	Title: Wolf Mountain quadrangle, New York [cartographic 	G3802.A34 W65 2001	right_only
185	Title: Bearsville quadrangle, New York [cartographic 	G3802.C33 B43 2001	right_only
186	Title: Kaaterskill Clove quadrangle, New York [cartographic 	G3802.C33 K22 2001	right_only
187	Title: Peekamoose Mtn quadrangle, New York [cartographic 	G3802.C33 P44 2001	right_only
188	Title: Phoenicia quadrangle, New York [cartographic material] 	G3802.C33 P46 2001	right_only
189	Title: Dover Plains quadrangle, New York--Connecticut 	G3803.D87 D68 1998	right_only
190	Title: Hunter quadrangle, New York--Greene Co [cartographic 	Produced Friday, February 16, 2024 at 4:19 PM	right_only
191	Title: Berlin quadrangle, New York--Massachusetts--Vermont 	G3803.R45 B47 1997	right_only
192	Title: North Pownal quadrangle, Vermont--New York 	G3803.R45 N67 1995	right_only
193	Title: Cranberry Lake quadrangle, New York--St. Lawrence Co 	G3803.S25 C72 2001	right_only
194	Title: Newton Falls quadrangle, New York--St. Lawrence Co 	G3803.S25 N48 2001	right_only
195	Title: Shandaken quadrangle, New York--Ulster Co 	G3803.U48 S52 2001	right_only
196	Title: West Shokan quadrangle, New York--Ulster Co 	G3803.U48 W47 1997	right_only
197	Title: Salem quadrangle, New York--Vermont [cartographic 	G3803.W27 S25 1995	right_only
198	Title: West Pawlet quadrangle, New York--Vermont 	G3803.W27 W46 1995	right_only
199	Title: Mount Kisco quadrangle, New York--Connecticut 	G3803.W47 M68 1998	right_only
200	Title: Peach Lake quadrangle, New York--Connecticut 	G3803.W47 P43 2001	right_only
201	Title: The Narrows quadrangle, New York--New Jersey 	G3804.N5 N27 2001	right_only
202	Title: South Amboy quadrangle, New Jersey--New York, 1995 	G3813.M54 S68 1995	right_only
203	Title: Keyport quadrangle, New Jersey--New York, 1995 	G3813.M65 K39 1995	right_only
204	Title: Sandy Hook quadrangle, New Jersey--New York 	G3813.M65 S35 1998	right_only
205	Title: Elkland quadrangle, Pennsylvania--New York 	G3823.E44 E55 2001	right_only
206	Title: Pacific Northwest [cartographic material] / produced 	G4241.S1 1986 .N3	right_only
207	Title: Central America and the Caribbean [cartographic 	G4800 2002 .U5	right_only
208	Title: Europe [cartographic material]. 	G5700 2004 .U4	right_only
209	Title: History of Europe [cartographic material] : the major 	G5701.S1 1983 N4	right_only
210	Title: An historical map of Kingston upon Hull from medieval 	G5754.H9.E644 2017 .E8	right_only
211	Title: [A view of London.] From the Sheldon Tapestry 	G5754.L7 1550? F76 1925	right_only
212	Title: Historical map of Oxford from medieval to Victorian 	G5754.O9.E644 2016 .B7	right_only
213	Title: An historical map of Winchester from medieval times to 	G5754.W74.E644 2016 .B5	right_only
214	Title: The Balkans / [cartographic material] / Central 	G6800.S2500 U6 1999	right_only
215	Title: Aegean Sea region [cartographic material]. 	G6802 .A3 2006 .U5	right_only
216	Title: Kosovo, map of the crisis region [cartographic 	G6853.K6 H3 1999	right_only
217	Title: Kosovo, map of the crisis region [cartographic 	G6853.K6 H3 1999	right_only
218	Title: Kosovo, map of the crisis region [cartographic 	G6853.K6 H3 1999	right_only
219	Title: Oil and gas infrastructure in the Caspian Sea Region 	G7121.H8 U35 2001	right_only
220	Title: Oil and gas infrastructure in the Caspian Sea region 	G7121.H8 U35 2012	right_only
221	Title: Middle East oil and gas [cartographic material]. 	G7421.H8 2007 .U5	right_only
222	Title: Republic of Turkey [cartographic material] = Türkiye 	G7430 2002 .U5	right_only
223	Title: Syria [cartographic material]. 	G7460 2004 .U5	right_only
224	Title: Syria [cartographic material]. 	G7460 2004 .U55	right_only
225	Title: Greater Jerusalem, May 2006. 	G7504 .J4 G4 2006 .U5	right_only
226	Title: West Bank [cartographic material]. 	G7512.W4A4 2008 .U5	right_only
227	Title: Yemen [cartographic material]. 	G7540 2002 .U53	right_only
228	Title: Central and southern Iraq [cartographic material] : 	G7610 2003 .U52	right_only
229	Title: Central and southern Iraq [cartographic material] : 	G7610 2003 .U53	right_only
230	Title: Iraq [cartographic material] : [map]. 	G7610 2003 .U54	right_only
231	Title: Iraq country profile [cartographic material]. 	G7610 2003 .U55	right_only
232	Title: Iraq country profile [cartographic material]. 	G7610 2003 .U55B	right_only
233	Title: Iraq [cartographic material]. 	G7610 2004 .U5	right_only
234	Title: Iraq [cartographic material]. 	G7610 2004 .U51	right_only
235	Title: Iran country profile [cartographic material]. 	G7620 2004 .U5	right_only
236	Title: Afghanistan-Pakistan [cartographic material]. : 	G7631.F2 2008 .U5	right_only
237	Title: Federally Adminstered Tribal Areas (FATA), Pakistan 	G7642.F42 A1 2009	right_only
238	Title: North-west Frontier Province, Pakistan [cartographic 	G7643.N6 A1 2009	right_only
239	Title: Swat District, North-west Frontier Province 	G7643.S9 A1 2009	right_only
240	Title: Kashmir region [cartographic material]. 	G7653.J3 2003 .U5	right_only
241	Title: East Asia [cartographic material] : [map]. 	G7800 2004 .U5	right_only
242	Title: Africa [cartographic material]. 	G8201.F2 2009 .U5	right_only
243	Title: Somalia [cartographic material] : country profile. 		right_only
244	Title: Oceania [cartographic material]. 	G9251 .A4 2002 .U5	right_only
245	Title: Cartographica extraordinaire : the historical map 	GA197.R86 R86 2004	right_only
246	Title: Mappae antiquae : liber amicorum Günter Schilder : 	GA203 .M37 2007 ATLAS	right_only
247	Title: Mappae antiquae : liber amicorum Günter Schilder : 	GA203 .M37 2007 MAPS	right_only
248	Title: Historical atlas of the North American railroad / 	HE2751 .H29 2010	right_only
249	Title: An atlas of rural settlement in England / Brian K 	HN398.E5 R63 2000	right_only
250	Title: Atlas of shrinking cities = Atlas der schrumpfenden 	HT371 .A85 2006	right_only
251	Title: Zoning resolution : the City of New York / City 	KFX2079.Z2	right_only
252	Title: The Phaidon atlas of contemporary world architecture. 	NA680 .P44 2004	right_only
253	Title: The Phaidon atlas of 21st century world architecture. 	NA687 .P43 2008	right_only
254	Title: The atlas of North American English : phonetics 	PE2808 .L26 2006	right_only
255	Title: Linguistic atlas of New England, by Hans Kurath 	PE2845.L5 K8 V.1	right_only
256	Title: Linguistic atlas of New England, by Hans Kurath 	PE2845.L5 K8 V.2	right_only
257	Title: Linguistic atlas of New England, by Hans Kurath 	PE2845.L5 K8 V.3	right_only
258	Title: Linguistic atlas of New England, by Hans Kurath 	PE2845.L5 K8 V.4	right_only
259	Title: Linguistic atlas of New England, by Hans Kurath 	PE2845.L5 K8 V.5	right_only
260	Title: Linguistic atlas of New England, by Hans Kurath 	PE2845.L5 K8 V.6	right_only
261	Title: Atlas of the Messier objects : highlights of the deep 	QB65 .A8513 2008	right_only
262	Title: Jodocus Hondius' wall-map of Europe, 1595; reproduced 	SPEC COLL FOLIO 1967 4	right_only
263	Title: The historical atlas of world railroads / 	TF15 .W47 2008	right_only
